team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_tds,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_fumbles,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_tds,team2_passer_rating,team2_times_sacked,team2_fumbles,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
33,196,1,23,35,0.657,2,76.964,202,398,2,4,2,10,25,4,13,0.308,2,3,0.667,2033,23,0,24,40,0.6,3,88.646,1,2,7,41,18,5,14,0.357,2,2,1.0,1567,0
20,38,0,18,33,0.545,0,66.351,149,187,0,2,6,54,11,7,16,0.438,0,0,0.0,1475,32,0,20,31,0.645,0,76.277,1,1,5,47,17,4,13,0.308,1,2,0.5,2125,0
20,61,1,20,27,0.741,1,68.827,194,255,3,1,7,50,11,4,10,0.4,0,2,0.0,1546,37,2,15,20,0.75,3,141.25,4,0,2,10,21,6,13,0.462,0,1,0.0,2054,0
41,151,1,11,19,0.579,1,83.004,158,309,3,1,2,10,16,3,14,0.214,0,0,0.0,2172,27,0,14,38,0.368,1,44.627,1,2,6,74,10,4,18,0.222,1,3,0.333,1428,1
36,205,1,13,24,0.542,3,118.576,266,471,2,3,3,36,22,5,12,0.417,1,1,1.0,1863,22,0,30,44,0.682,3,109.848,1,3,5,34,21,7,14,0.5,0,0,0.0,1737,1
34,135,1,20,35,0.571,0,65.06,207,342,3,0,4,30,23,5,14,0.357,0,0,0.0,1886,21,1,23,40,0.575,1,75.833,2,0,8,66,18,4,14,0.286,2,3,0.667,1714,1
36,197,0,19,31,0.613,1,65.659,205,402,3,0,4,20,22,1,11,0.091,1,1,1.0,2131,28,1,13,26,0.5,0,51.282,5,0,3,35,14,4,14,0.286,1,1,1.0,1795,1
28,103,0,17,27,0.63,1,83.102,188,291,2,1,4,35,17,4,12,0.333,1,2,0.5,1935,25,2,23,34,0.676,0,85.907,1,1,5,75,21,4,12,0.333,2,2,1.0,1665,0
25,104,1,25,35,0.714,2,98.869,228,332,3,1,5,30,22,6,13,0.462,1,1,1.0,1634,33,1,18,30,0.6,3,131.528,1,0,3,28,24,6,11,0.545,0,0,0.0,1966,0
21,117,0,28,47,0.596,4,70.168,273,390,2,1,3,30,24,2,10,0.2,2,3,0.667,1641,23,2,25,43,0.581,1,84.738,3,1,7,42,18,8,17,0.471,0,0,0.0,1959,1
